Provider_ID,Date_Create,Time_Create,Reviewer,Subject,Casenote,Seq_No,Source,Updt_time_stamp,
"000000001","3/8/2007","12:47:02 PM","BHARTLEY","Correspondence","I called Dee Dee Lowry and informed her of CFC #1's monitoring dates of April 9-10, 2007. I sent out notification letters with CFC checklists to Matthew Toohey, Executive Director and Dee Dee Lowry respectively. ","316","","3/15/2007 12:49:45 PM",
"000000001","4/10/2007","2:15:34 PM","BHARTLEY","Meeting","Completed review yesterday and today, violation report was presented to Dee Dee. A CAP is due 5/9/2007. Parent names were collected and given to Dee Pratcher.","317","","5/10/2007 2:17:34 PM",
"000000001","5/9/2007","2:17:34 PM","BHARTLEY","Correspondence","I received CAP via e-mail, CAP is approved. I sent CAP approval letter to Dee Dee Lowery.","318","","5/10/2007 2:18:57 PM",
"000000001","5/10/2007","2:18:57 PM","BHARTLEY","Correspondence","I put together DHS post review packet, the parent surveys will be sent when complete.","319","","5/10/2007 2:19:48 PM",
"000000001","2/6/2008","4:07:03 PM","CSUNDELL","Complaint","Called and spoke with Dee Dee to plan her CFC review.  There is a large training on the 21st of April so we scheduled the review for the 24th. ","18819","","11/17/2008 4:09:05 PM",
"000000001","3/20/2008","4:05:38 PM","CSUNDELL","Complaint","Mailed Dee Dee and Matt Toohey the on site confirmation letter for their review on April 24.","18818","","11/17/2008 4:07:02 PM",
"000000001","4/24/2008","4:09:05 PM","CSUNDELL","Meeting","Met a CFC 1 and did not have an entrance conference.  Met with Dee Dee and Matt to conduct the admin portion of the review.  The file review went very quickly, there were violations regarding not having multi-discipline evals for IFSP.  HAd an exit conference with Dee Dee and about 6 of her staff.  I informed them this is usually only done with admin staff, but since it was a small group we will go ahead and meet with her staff that were present.  Files were reviewed and some documentation was found.  I answered alot of their questions and gave clarification.  Dee Dee signed the implementation page.  WIll mail copy of report on my eturn to the office.  ","18820","","11/17/2008 4:12:57 PM",
"000000001","5/21/2008","4:12:59 PM","CSUNDELL","Correspondence","Received copy of CFC CAP.  Reviewed and all areas seem to be addressed thoroughly.  WIll mail CAP approval letter.","18821","","11/17/2008 4:14:10 PM",
"000000001","6/1/2008","4:14:11 PM","CSUNDELL","Correspondence","Closed case and copied file for DHS.","18822","","11/17/2008 4:14:51 PM",
"000000001","3/17/2009","2:22:59 PM","CSUNDELL","Correspondence","Called Dee Dee Lowery, Program MAnager and discussed the date of the review.  April 22 willl be the review date and the letter will go out in a few days.  Went over new tool items and asked if Dee Dee had any questions.  She has no concerns regarding the review at this time.","24852","","4/27/2009 2:25:01 PM",
